word,definition,variants,letter,original
Абие,"тотчас, с тех пор как, когда.",,А,Абие
Абы,"чтобы, дабы.",,А,Абы
Агнец,"ягненок, барашек.",,А,Агнец
Аз,местоимение «я» или наименование первой буквы алфавита.,,А,Аз
Аз,названия первых букв славянского алфавита.,"буки, веди",А,"Аз, буки, веди"
Аки,"как, так как, подобно, словно, как бы.",,А,Аки
Алтын,старинная серебряная монета достоинством в три копейки.,,А,Алтын
Алчешь,от слова «алкать» – жадно хотеть.,,А,Алчешь
Ан,"если же, между тем, ведь.",аже,А,"Ан, аже"
Анбар,строение для хранения хлеба или товаров.,,А,Анбар (амбар)
Арака,пшеничная водка,,А,Арака
Арапчик,голландский червонец.,,А,Арапчик
Аргамак,"восточный породистый конь, скакун: на свадьбе – конь под седлом, а не в упряжке",,А,Аргамак
Армяк,мужская верхняя одежда из суконной или шерстяной ткани.,,А,Армяк
Аршин,"русская мера длины, равная 0,71 м; линейка, планка такой длины для измерения.",,А,Аршин
Аще,"если, ежели, когда.",,А,Аще
Бабка,"четыре снопа овса – колосьями вверх, накрытые пятым – колосьями вниз – от дождя.",,Б,Бабка
Бадог,"батог, палка, посох, хлыст.",,Б,Бадог
Баженый,"любимый, от слова «бажать» – любить, желать, иметь склонность.",,Б,Баженый
Базланить,"реветь, кричать.",,Б,Базланить
Барбер,"брадобрей, парикмахер.",,Б,Барбер
Барда,"гуща, остатки от перегона хлебного вина, используемые на откорм скоту.",,Б,Барда
Барщина,"даровой принудительный труд крепостных крестьян, работавших со своим инвентарем в хозяйстве земельного собственника, помещика. Кроме того, барщинные крестьяне платили помещику различные натуральные подати, поставляя ему сено, овес, дрова, масло, птицу и т. д. За это помещик выделял крестьянам часть земли и позволял ее обрабатывать Барщина составляла 3–4, а порой даже 6 дней в неделю. Указ Павла I (1797 г.) о трехдневной барщине носил рекомендательный характер и в большинстве случаев помещиками игнорировался.",,Б,Барщина
Баской,"красивый, нарядный.",,Б,Баской
Басок,"краткая форма от слова «баской» – красивый, пригожий, украшенный.",,Б,Басок
Бастион,"земляное или каменное укрепление, образующее выступ на крепостном валу.",,Б,Бастион
Басурман,"враждебно-недоброжелательное наименование магометанина, а также вообще иноверца, иноземца.",,Б,Басурман
Баталья,"битва, сражение.",,Б,Баталья (баталия)
Бахарь,"говорун, краснобай.",,Б,Бахарь
Баять,"говорить, болтать, беседовать.",,Б,Баять
Бдеть,"заботиться; быть на страже, бдительным.",,Б,Бдеть
Беглость,скорость.,,Б,Беглость
Безвременье,"беда, тяжелое испытание, время.",,Б,Безвременье
Безмен,ручные весы с неравным рычагом и перемещающейся точкой опоры.,,Б,Безмен
Безобычный,"не знающий обычаев, житейских правил, приличий.",,Б,Безобычный
Бела можайская,древнерусский сорт наливных яблочек,,Б,Бела можайская
Бельмес,"не разумеешь ничего, совсем не разумеешь.",,Б,Бельмес (татарское «белмэс»)
Бердо,принадлежность ткацкого стана.,,Б,Бердо
Бережь,осторожность.,,Б,Бережь
Беремя,"бремя, тяжесть, ноша; охапка, сколько можно обнять руками.",,Б,Беремя
Бесперечь,"безусловно, несомненно, беспрестанно.",,Б,Бесперечь
Бесстудный,бесстыдный.,,Б,Бесстудный
Бечева,"прочная веревка, канат; бечевая тяга – передвижение судна бечевой, которую тянули по берегу люди или лошади.",,Б,Бечева
Бечет,драгоценный камень типа рубина,,Б,Бечет
Бирка,"палочка или дощечка, на которой зарубками или краской кладутся знаки, заметки.",,Б,Бирка
Бирюк,"зверь, медведь.",,Б,Бирюк
Битые караваи,взбитое на сливках тесто для калачей,,Б,Битые караваи
Бить челом,"низко кланяться; просить о чем-либо; подносить подарок, сопровождая подношение просьбой.",,Б,Бить челом
